data	V1	V2	V3	V4	V5	V6	V7	V9	V10	V11	V12	V13	V14	V15	V16	V17	V21	V22	V23	V24	V25	V26	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V40	V46	V47	V66	V67	V69	V70	V71	V75	V76	V81	V82	V83	V84	V85	V86	V87	V88	V89	V93	V94	V95	V96	V97	V107	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121
4T16	0.30	0.19	-0.01	0.32	0.47	0.72	0.33	0.83	0.54	0.20	0.35	0.46	0.53	0.31	0.40	0.37	1.12	0.60	8837.11	10159.38	9470.04	12.45	4872.03	4612.45	5631.98	270287.15	191973469.00	166171.51	669286299.00	171055.08	2446065.75	5370570.89	5831877.73	4.44	-29.40	-2.71	11525.48	15940.64	365016.00	-4441.80	-24230.00	6269328.00	110.73	478.96	85.30	102.30	83.40	67.50	85.90	86.70	71.60	91.50	201.14	196.07	4.10	973.00	5.70	204346.00	70737.36	155790.61	2.48	33.34	44.14	-10.80	2892913.46	3453813.69	-560900.25	565780.50
1T17	0.25	0.15	0.48	-0.10	0.41	0.14	0.47	-0.38	0.01	0.05	0.16	0.37	0.14	0.42	0.25	0.28	1.05	0.60	9142.86	10851.16	10030.01	10.32	5207.86	4801.27	6102.16	243610.35	172723627.00	151341.75	662919497.00	152547.05	2413002.77	5507791.84	5936525.99	4.36	458.40	-2.52	12937.67	20073.94	370111.00	711.20	-22169.60	6359059.30	109.38	505.02	85.60	102.30	83.60	68.60	87.10	86.90	70.20	92.40	236.57	228.93	5.95	1.69	5.34	189105.00	11046.96	147822.63	2.32	35.05	45.64	-10.59	3020614.70	3581710.48	-561095.78	544312.90
2T17	-0.23	0.16	-0.83	-0.24	0.14	0.05	-0.32	-0.96	-0.67	-0.62	0.93	0.20	0.22	0.08	0.24	0.28	0.81	0.57	9389.12	11070.55	10250.79	8.96	5137.85	4864.82	5941.60	260238.97	176529399.00	153986.84	678744382.00	157053.07	2497091.46	5518949.60	5978559.45	4.15	197.70	0.30	12595.23	19779.12	377175.00	431.20	-17556.80	6434425.00	100.06	504.32	86.90	102.00	85.00	72.60	88.30	87.80	72.60	92.50	214.84	205.81	6.80	2.24	5.18	194796.00	19552.38	167198.22	2.60	35.88	47.20	-11.32	3112891.52	3723509.93	-610618.41	556787.60
3T17	0.16	0.11	0.24	0.00	0.25	0.02	-0.02	0.62	0.47	0.39	0.06	0.28	0.37	0.13	0.26	0.24	0.64	0.57	9644.45	11700.86	10754.87	7.19	5513.04	5117.06	6455.25	262770.31	178674701.00	154891.47	697406903.00	156549.49	2529390.34	5677639.43	6092331.52	4.09	1732.50	4.88	13488.33	18659.34	381244.34	-705.20	-15751.20	6504880.90	99.67	503.71	87.60	100.20	86.50	74.10	89.00	89.40	79.60	92.60	239.76	230.48	7.60	1.69	4.12	199217.00	21259.45	152398.89	2.34	38.28	48.88	-10.60	3298061.18	3874139.76	-576078.60	528871.20
4T17	0.44	0.35	0.21	0.49	0.54	0.55	0.21	0.74	0.89	0.90	0.07	0.33	0.55	0.29	0.49	0.46	0.54	0.57	9819.73	11853.18	10909.32	6.67	5495.36	5192.59	6350.06	296755.46	203909637.00	176316.78	727981354.00	179929.93	2581696.30	5770354.87	6226509.35	3.84	726.70	6.16	12597.52	17595.29	373972.02	-2696.80	-15014.50	6583319.00	109.46	499.66	91.10	98.80	90.80	77.60	91.40	93.40	90.40	94.70	219.70	210.94	7.44	1.32	2.60	212620.00	32321.46	110582.68	1.68	38.49	49.76	-11.27	3382942.20	4001076.80	-618134.58	588892.80
1T18	0.09	0.10	0.23	-0.13	0.18	0.00	0.17	0.56	0.64	0.45	0.24	0.25	0.10	0.13	0.19	0.26	0.53	0.55	9996.65	12385.99	11320.66	6.22	5766.89	5375.92	6726.99	275056.18	185031942.00	164339.31	734825268.00	170388.01	2610244.31	5858214.64	6285845.76	3.72	553.80	0.01	13808.69	20228.66	379576.89	-2269.40	-22801.20	6651938.30	115.64	506.29	89.30	100.80	87.90	79.70	88.70	92.10	85.40	94.30	267.54	254.76	9.95	2.83	5.37	207353.00	25135.28	108388.69	1.63	39.25	50.41	-11.17	3463387.26	4081950.10	-618562.83	560120.70
2T18	1.26	1.11	2.49	1.39	0.38	1.01	1.19	1.48	1.87	1.86	0.97	0.46	0.23	0.63	0.58	0.42	0.52	0.53	10121.96	12098.04	11167.59	6.81	5558.96	5338.40	6304.91	269827.76	187373801.00	168872.82	752524350.00	171743.09	2687682.37	5937930.94	6476692.98	3.46	-985.30	-5.20	14324.85	20114.05	379500.37	-1450.20	-29484.40	6722989.30	104.00	495.97	90.10	101.90	88.50	80.60	90.00	92.70	85.10	95.30	256.31	244.73	8.64	2.94	5.31	201963.00	13491.20	89823.41	1.34	37.94	51.24	-13.31	3440673.55	4189975.48	-749301.92	580697.80
3T18	0.48	0.09	0.96	0.20	0.40	0.39	0.45	1.79	1.52	1.20	0.23	0.37	0.39	0.32	0.36	0.28	0.47	0.53	10295.57	12325.04	11372.30	7.13	5653.74	5451.22	6402.51	279406.91	195138475.00	175323.33	779246716.00	176292.22	2768549.99	6107351.56	6642738.04	3.44	-146.50	3.48	14115.91	19187.20	380738.08	-1327.30	-37581.60	6812244.10	106.79	493.25	87.00	98.70	86.10	79.60	87.50	89.70	79.10	92.90	223.08	211.72	9.12	2.25	5.75	213323.00	24621.18	87794.46	1.29	38.69	52.80	-14.11	3543584.89	4356057.68	-812472.79	556776.60
4T18	0.15	-0.16	-0.89	0.13	0.84	0.09	0.29	-0.45	-1.08	-1.23	0.13	0.36	0.52	0.35	0.30	0.38	0.49	0.56	10504.61	13307.22	12080.13	6.45	6212.98	5704.86	7328.30	302049.46	218156668.00	187988.86	800889430.00	192069.57	2851295.64	6327699.49	6760860.12	3.25	221.20	-1.81	12916.75	19345.02	374714.80	-6115.80	-41539.70	6889176.10	127.80	491.83	87.70	104.00	85.80	74.00	88.30	89.10	78.80	92.30	177.50	169.02	7.38	1.11	5.54	234505.00	41132.97	108258.20	1.57	40.12	53.13	-13.01	3695837.31	4444586.68	-748749.36	603155.20
1T19	0.75	0.54	0.75	0.51	0.94	0.51	0.65	1.07	1.26	1.40	0.31	0.32	0.39	0.30	0.37	0.33	0.47	0.57	10664.90	13650.99	12355.76	6.48	6557.49	5870.03	7889.65	286741.57	197339506.00	174510.16	796364767.00	180041.40	2826921.48	6316011.12	6786532.80	3.26	270.50	-0.18	13131.94	17693.08	384165.07	-2389.10	-41916.10	6957023.00	125.53	506.02	86.60	86.60	86.30	76.90	86.10	89.70	81.50	92.20	240.76	230.77	8.32	1.67	4.46	209148.00	18629.24	99312.17	1.43	40.66	53.58	-12.92	3755155.04	4507440.37	-752285.35	579230.20
